date,temp_avg,dewpoint,pressure,wind_direction,wind_speed,precipitation_1h,precipitation_6h
2025-03-16,24.1,14.4625,10113.25,67.5,0.5875,0,0
2025-03-17,22.2,15.0125,10127.125,135.0,1.025,0,0
2025-03-18,22.675,16.075,10120.375,157.14285714285714,1.1625,0,0
2025-03-19,23.675,13.925,10130.375,93.33333333333333,0.95,0,0
2025-03-20,24.225,11.9,10137.375,67.5,0.45,0,0
2025-03-21,24.05,12.8375,10131.25,186.66666666666666,1.6624999999999999,0,0
2025-03-22,23.975,13.5875,10123.125,135.0,1.3,0,0
2025-03-23,24.425,13.125,10138.0,45.0,0.4375,0,0
2025-03-24,25.325,12.6875,10125.25,0.0,0.25,0,0
2025-03-25,26.925,13.0,10079.0,0.0,0.25,0,0
2025-03-26,28.9,13.5125,10056.375,86.66666666666667,0.7,0,0
2025-03-27,29.25714285714286,13.528571428571428,10053.142857142857,118.57142857142857,1.4,0,0
2025-03-28,25.614285714285717,4.785714285714286,10093.0,278.57142857142856,3.3,0,0
2025-03-29,23.125,4.4,10095.375,272.85714285714283,3.325,0,0
2025-03-30,23.425,6.7625,10102.25,157.14285714285714,1.5374999999999999,0,0
2025-03-31,25.275000000000002,7.5875,10096.375,173.75,1.2875,0,0
2025-04-01,24.85,8.3,10091.0,145.0,1.1,0,0
2025-04-02,25.8,10.375,10099.375,87.14285714285714,0.5,0,0
2025-04-03,27.625,10.6,10103.625,58.0,0.5625,0,0
2025-04-04,28.725,10.65,10092.75,80.0,0.7125,0,0
2025-04-05,26.974999999999998,12.6375,10074.375,157.14285714285714,1.0875,0,0
2025-04-06,28.575,14.475,10060.0,45.714285714285715,0.3125,0,0
2025-04-07,30.400000000000002,16.02857142857143,10073.714285714286,0.0,0.2857142857142857,0,0
2025-04-08,32.371428571428574,17.571428571428573,10090.857142857143,0.0,0.5714285714285714,0,0
