date,temperature,humidity,wind_speed_model,wind_direction_model,cloud_cover_low,cloud_cover_mid,cloud_cover_high,temp_avg,dewpoint,pressure,wind_direction_obs,wind_speed_obs,precipitation_1h,precipitation_6h
2023-04-28,15.924999999999999,82.20833333333333,14.275,263.12513783587923,37.75,40.416666666666664,99.29166666666667,17.145833333333332,12.945833333333333,10140.458333333334,256.6666666666667,3.620833333333333,15,22
2023-04-29,11.924999999999999,82.25,8.966666666666667,128.58318838325937,69.79166666666667,0.5416666666666666,59.708333333333336,11.733333333333334,8.325000000000001,10200.083333333334,185.0,2.654166666666667,0,0
2023-04-30,12.245833333333332,73.79166666666667,9.270833333333334,73.08076676893651,31.083333333333332,23.0,98.41666666666667,12.875000000000002,7.208333333333332,10201.333333333334,159.58333333333334,2.208333333333333,0,0
2023-05-01,11.933333333333332,81.04166666666667,12.045833333333334,310.5431249609062,43.541666666666664,18.416666666666668,25.916666666666668,12.195833333333336,8.729166666666666,10189.458333333334,267.5,2.4875,14,6
2023-05-02,11.970833333333333,80.25,9.058333333333334,136.5415721576265,17.708333333333332,6.75,0.125,11.508695652173913,8.073913043478262,10250.91304347826,57.82608695652174,2.391304347826087,0,0
2023-05-03,12.75,71.91666666666667,14.679166666666667,67.2938930381152,0.0,0.0,33.791666666666664,13.745833333333332,6.925000000000001,10225.958333333334,48.333333333333336,4.204166666666667,0,0
2023-05-04,16.208333333333332,70.20833333333333,14.904166666666667,157.54047534917115,1.0833333333333333,24.083333333333332,38.833333333333336,17.187500000000004,9.441666666666666,10157.041666666666,152.5,4.0625,0,0
2023-05-05,14.679166666666667,82.54166666666667,10.166666666666666,213.2491617697411,13.0,60.125,56.333333333333336,16.104166666666668,11.333333333333336,10175.5,200.0,3.7083333333333335,0,2
2023-05-06,15.049999999999999,84.41666666666667,7.545833333333333,155.4148019292358,11.083333333333334,70.5,99.41666666666667,16.1625,12.258333333333333,10161.083333333334,178.75,1.9875,11,2
2023-05-07,14.987499999999999,90.20833333333333,6.866666666666667,251.167508651499,30.333333333333332,63.166666666666664,76.41666666666667,15.495833333333335,13.8375,10180.125,219.58333333333331,1.5791666666666666,182,82
2023-05-08,14.016666666666666,85.08333333333333,6.895833333333333,275.1228740659187,63.375,36.5,58.666666666666664,12.515384615384615,10.907692307692308,10229.615384615385,281.53846153846155,1.9384615384615385,0,0
2023-05-09,13.895833333333334,89.5,12.345833333333333,226.1235234263307,48.083333333333336,74.91666666666667,89.79166666666667,14.428571428571429,12.31875,10124.9375,235.625,3.19375,112,110
2023-05-10,12.108333333333334,84.20833333333333,14.345833333333333,273.6675612662864,43.333333333333336,48.458333333333336,39.75,12.904166666666669,9.766666666666667,10148.958333333334,277.0833333333333,3.279166666666667,40,80
2023-05-11,11.716666666666667,84.41666666666667,7.745833333333334,255.91732877313348,24.416666666666668,38.583333333333336,41.666666666666664,13.295833333333336,8.808333333333335,10167.583333333334,301.25,2.15,-2,4
2023-05-12,11.554166666666667,84.125,12.2125,342.37666005837474,41.458333333333336,32.958333333333336,62.375,12.113636363636369,8.745454545454542,10179.0,324.09090909090907,2.9909090909090907,5,6
2023-05-13,14.508333333333333,81.83333333333333,14.245833333333332,109.95633046355628,8.875,16.875,17.291666666666668,14.854166666666671,10.95,10202.416666666666,319.1666666666667,4.366666666666666,10,0
2023-05-14,13.454166666666666,79.58333333333333,12.704166666666666,213.41531953032904,17.458333333333332,7.75,38.583333333333336,13.125000000000002,9.4625,10195.083333333334,300.4166666666667,3.0041666666666664,0,8
2023-05-15,11.158333333333333,87.625,12.745833333333332,327.7490475486848,43.291666666666664,54.458333333333336,94.20833333333333,11.365217391304348,8.891304347826088,10182.782608695652,300.8695652173913,3.069565217391304,4,0
2023-05-16,10.475,71.16666666666667,17.7625,124.25162745207032,26.208333333333332,15.833333333333334,3.625,11.247826086956522,5.160869565217391,10233.636363636364,269.5652173913044,4.252173913043478,0,0
2023-05-17,11.204166666666666,72.75,14.966666666666667,64.12543643104173,17.166666666666668,12.083333333333334,0.0,12.52608695652174,6.091304347826088,10267.826086956522,178.2608695652174,3.921739130434783,0,0
2023-05-18,11.641666666666666,67.41666666666667,15.254166666666668,35.37441427137702,8.958333333333334,18.041666666666668,55.958333333333336,12.25,4.913636363636363,10257.318181818182,260.90909090909093,3.804545454545455,0,0
2023-05-19,13.25,64.95833333333333,15.466666666666667,31.042853340188,2.5416666666666665,24.916666666666668,0.0,14.224999999999996,6.316666666666666,10232.583333333334,280.0,4.045833333333333,0,0
2023-05-20,15.549999999999999,65.0,18.195833333333333,19.875905913088257,11.458333333333334,64.25,23.916666666666668,16.079166666666666,8.612499999999999,10186.125,310.0,4.429166666666666,0,0
2023-05-21,16.445833333333333,72.79166666666667,16.587500000000002,28.71091511400555,24.083333333333332,9.416666666666666,65.70833333333333,16.691666666666666,11.120833333333335,10164.916666666666,320.8333333333333,3.983333333333333,0,0
2023-05-22,15.737499999999999,76.5,13.170833333333334,349.7907339273676,48.958333333333336,6.291666666666667,33.708333333333336,16.525,11.720833333333331,10178.791666666666,332.9166666666667,3.579166666666666,0,0
2023-05-23,14.487499999999999,74.08333333333333,18.724999999999998,60.29234878161653,63.416666666666664,1.5416666666666667,16.208333333333332,14.5125,9.558333333333332,10226.0,172.08333333333334,4.733333333333333,0,0
2023-05-24,12.733333333333334,65.375,16.320833333333333,24.75177674965156,16.625,11.958333333333334,43.916666666666664,14.01739130434783,5.8,10238.347826086956,137.3913043478261,4.21304347826087,0,0
2023-05-25,14.841666666666667,67.54166666666667,17.6375,32.544002763430754,17.25,0.625,2.0833333333333335,15.869565217391306,7.730434782608696,10247.04347826087,139.1304347826087,4.6869565217391305,0,0
2023-05-26,15.387500000000001,70.45833333333333,16.904166666666665,30.49854343481372,0.16666666666666666,0.0,1.2916666666666667,16.44583333333333,8.887500000000001,10257.208333333334,132.5,4.0625,0,0
2023-05-27,17.125,64.125,14.395833333333334,38.502763832791324,0.0,0.0,30.958333333333332,17.933333333333334,8.995833333333332,10216.708333333334,120.0,3.704166666666666,0,0
2023-05-28,18.679166666666667,62.0,16.25,31.541326621951818,0.0,0.25,13.5,19.591666666666665,10.10833333333333,10179.416666666666,231.66666666666663,4.0125,0,0
2023-05-29,17.641666666666666,64.625,22.650000000000002,27.501974166279513,0.0,0.0,11.625,18.083333333333336,10.6375,10202.291666666666,142.91666666666666,5.2375,0,0
2023-05-30,16.120833333333334,55.958333333333336,21.520833333333332,30.830858955989598,0.0,0.0,42.75,16.925,7.025,10224.5,172.91666666666666,4.95,0,0
2023-05-31,18.508333333333333,60.791666666666664,19.779166666666665,35.50046498630581,0.20833333333333334,0.08333333333333333,31.208333333333332,19.2125,10.175000000000002,10200.291666666666,134.16666666666666,5.179166666666666,0,0
2023-06-01,19.575,61.791666666666664,18.783333333333335,32.0856365273261,0.0,0.0,6.291666666666667,19.504166666666663,11.59166666666667,10190.782608695652,215.83333333333331,4.583333333333333,0,0
2023-06-02,14.716666666666667,65.70833333333333,18.341666666666665,24.53978236545316,0.7916666666666666,0.0,0.0,15.012500000000005,7.837499999999999,10195.458333333334,200.0,4.4375,0,0
2023-06-03,17.270833333333332,59.75,15.541666666666666,31.873642143127697,0.0,0.0,0.0,18.14166666666667,9.0375,10177.708333333334,191.25,3.579166666666667,0,0
2023-06-04,19.095833333333335,47.958333333333336,17.241666666666667,36.417197458515126,0.0,0.0,0.0,19.6,6.208333333333333,10183.916666666666,172.5,4.025,0,0
2023-06-05,19.3125,52.291666666666664,16.958333333333332,28.080661539361646,0.041666666666666664,8.625,3.8333333333333335,19.42083333333333,9.662499999999998,10185.541666666666,227.5,4.058333333333333,0,0
2023-06-06,18.733333333333334,60.916666666666664,15.575000000000001,30.33238567422578,0.041666666666666664,28.375,0.0,19.2375,10.529166666666669,10179.083333333334,221.66666666666663,3.870833333333333,0,0
2023-06-07,20.6875,57.583333333333336,16.091666666666665,47.085671603851054,0.2916666666666667,13.041666666666666,0.125,20.879166666666663,11.395833333333334,10166.208333333334,115.41666666666669,3.7916666666666665,0,0
2023-06-08,20.783333333333335,60.541666666666664,12.625,51.41723253504008,0.5416666666666666,6.625,0.16666666666666666,21.42173913043478,12.369565217391305,10135.454545454546,91.30434782608695,3.226086956521739,0,0
2023-06-09,22.849999999999998,54.666666666666664,13.583333333333334,75.49864866438858,0.0,6.291666666666667,56.333333333333336,23.816666666666677,12.529166666666669,10096.875,151.25,3.945833333333333,0,0
2023-06-10,22.616666666666664,67.04166666666667,7.841666666666666,120.87690603874978,4.0,27.166666666666668,32.875,25.76666666666667,15.633333333333336,10120.333333333334,160.66666666666666,3.84,0,0
2023-06-11,21.245833333333334,82.58333333333333,5.466666666666666,241.79391912315873,27.208333333333332,35.75,57.083333333333336,21.74347826086956,18.0625,10139.5,229.16666666666663,1.9916666666666665,279,0
2023-06-12,20.75,79.0,9.245833333333334,268.2072734786897,3.125,30.25,75.16666666666667,21.282608695652176,17.537499999999998,10136.125,324.5833333333333,2.3041666666666667,21,276
2023-06-13,22.045833333333334,61.416666666666664,11.183333333333332,76.37527409093873,0.0,11.041666666666666,6.333333333333333,22.92916666666666,12.333333333333336,10108.333333333334,172.08333333333334,3.0,0,0
2023-06-14,21.708333333333332,52.583333333333336,8.3875,60.37256287293485,0.0,3.6666666666666665,0.125,22.954166666666666,9.666666666666666,10141.958333333334,177.5,2.333333333333333,0,0
2023-06-15,21.316666666666666,54.791666666666664,7.520833333333333,40.08412734735239,0.0,12.0,44.416666666666664,22.031818181818185,10.409090909090912,10175.421052631578,264.7619047619048,2.15,0,0
2023-06-16,21.587500000000002,53.125,6.5249999999999995,49.58376759062144,0.041666666666666664,2.2916666666666665,2.125,22.849999999999994,9.737500000000002,10174.416666666666,134.16666666666666,2.1375,0,0
2023-06-17,22.979166666666668,55.0,8.695833333333333,134.8742649737958,1.4166666666666667,42.833333333333336,86.33333333333333,23.954166666666666,13.608333333333334,10136.291666666666,93.75,2.583333333333333,-1,0
2023-06-18,22.84583333333333,72.79166666666667,10.6625,181.41562667227257,5.0,39.708333333333336,93.5,22.272727272727277,17.154545454545456,10106.0,159.1304347826087,3.3782608695652177,32,0
2023-06-19,19.845833333333335,81.70833333333333,6.941666666666666,162.87471242183912,35.833333333333336,22.75,92.20833333333333,22.494117647058815,16.582352941176474,10122.176470588236,139.41176470588235,2.7,1,0
2023-06-20,21.304166666666667,81.0,13.995833333333332,189.08180197112299,13.75,19.083333333333332,88.875,22.54583333333333,16.945833333333336,10108.166666666666,178.33333333333334,4.008333333333334,-1,0
2023-06-21,21.2375,76.91666666666667,5.866666666666667,173.62340065849335,12.708333333333334,27.875,57.708333333333336,22.825000000000003,15.7625,10166.375,172.91666666666666,2.0125,0,0
2023-06-22,19.525000000000002,78.20833333333333,15.25,202.3343157724989,10.25,52.708333333333336,89.33333333333333,19.821739130434786,15.247826086956522,10175.521739130434,333.0434782608696,3.313043478260869,101,130
2023-06-23,19.891666666666666,73.79166666666667,6.908333333333334,276.08544316173845,2.375,7.791666666666667,37.458333333333336,21.65833333333333,13.8875,10248.333333333334,228.33333333333331,2.125,0,0
2023-06-24,21.5125,66.04166666666667,6.9375,45.00010522957486,5.5,0.041666666666666664,0.0,23.091666666666665,13.758333333333333,10234.041666666666,165.41666666666666,2.020833333333333,0,0
2023-06-25,23.875,62.75,10.1625,147.33609701789118,0.0,0.3333333333333333,0.6666666666666666,25.95833333333333,13.691666666666668,10164.04347826087,212.91666666666663,3.2916666666666665,0,0
2023-06-26,19.349999999999998,60.583333333333336,15.450000000000001,302.6248482321982,22.541666666666668,12.333333333333334,49.375,19.96666666666667,10.529166666666669,10217.125,293.75,3.4916666666666667,0,0
2023-06-27,18.470833333333335,62.0,8.700000000000001,305.5412034094141,19.666666666666668,18.0,67.41666666666667,19.579166666666666,10.429166666666667,10223.541666666666,297.5,2.341666666666667,0,0
2023-06-28,19.766666666666666,67.16666666666667,6.1625000000000005,233.58343391893405,52.458333333333336,24.75,36.958333333333336,21.070833333333336,13.287500000000003,10191.541666666666,202.91666666666663,1.775,0,0
2023-06-29,20.8125,74.375,9.0375,184.4580325644172,32.041666666666664,66.125,53.541666666666664,21.03333333333333,15.687499999999998,10159.6,270.0,2.8166666666666664,0,0
2023-06-30,19.25,60.916666666666664,13.429166666666667,290.7073260934771,37.208333333333336,47.083333333333336,34.75,19.7,10.391666666666666,10151.608695652174,274.5833333333333,3.8708333333333336,0,0
2023-07-01,19.116666666666667,71.45833333333333,19.333333333333332,255.7110639668864,85.375,56.958333333333336,26.625,19.229166666666668,14.0,10103.833333333334,248.75,4.570833333333333,21,2
2023-07-02,18.287499999999998,60.916666666666664,16.104166666666668,275.91928540115055,41.0,15.0,5.125,18.83750000000001,10.395833333333336,10145.208333333334,256.25,4.170833333333333,0,0
2023-07-03,18.712500000000002,58.25,14.245833333333332,267.21032691516206,35.291666666666664,24.583333333333332,15.041666666666666,19.966666666666665,10.133333333333336,10150.958333333334,252.5,4.141666666666667,0,0
2023-07-04,17.395833333333332,73.16666666666667,11.508333333333333,221.99822730138877,31.708333333333332,40.083333333333336,40.083333333333336,18.347826086956523,12.191666666666668,10134.041666666666,195.83333333333331,3.758333333333333,89,0
2023-07-05,16.466666666666665,68.95833333333333,20.466666666666665,259.03994875659646,21.666666666666668,18.583333333333332,1.875,17.108333333333334,10.2125,10158.083333333334,244.58333333333331,4.875,-1,90
2023-07-06,18.2625,63.5,5.108333333333333,166.45569864140674,7.708333333333333,49.291666666666664,0.0,19.1,9.604347826086956,10176.954545454546,126.52173913043478,1.8130434782608695,0,0
2023-07-07,22.270833333333332,55.583333333333336,11.083333333333334,114.04151954283905,0.5,6.0,30.125,23.341666666666672,12.491666666666667,10155.25,73.75,3.591666666666667,0,0
2023-07-08,25.6875,55.208333333333336,9.700000000000001,183.08293385610324,0.041666666666666664,9.916666666666666,26.083333333333332,26.93749999999999,15.2625,10152.375,183.75,2.9916666666666667,0,0
2023-07-09,23.145833333333332,72.16666666666667,9.308333333333334,271.70804560693904,12.791666666666666,24.75,53.125,23.154166666666665,16.97083333333333,10194.416666666666,286.6666666666667,2.2416666666666667,1,2
2023-07-10,22.941666666666666,59.875,7.8,243.08307416220308,0.75,5.625,11.375,22.95833333333333,11.979166666666664,10210.916666666666,174.16666666666666,2.3916666666666666,0,0
2023-07-11,24.099999999999998,54.541666666666664,11.670833333333334,230.0024476993664,1.625,13.208333333333334,18.25,24.5875,13.966666666666669,10132.416666666666,194.58333333333331,3.4791666666666665,0,0
2023-07-12,20.537499999999998,61.375,14.258333333333333,289.4582781000919,25.25,21.041666666666668,50.833333333333336,20.726086956521737,11.20434782608696,10153.08695652174,260.4347826086956,3.830434782608696,0,0
2023-07-13,19.716666666666665,56.375,12.195833333333333,275.9593924468097,26.833333333333332,53.416666666666664,14.333333333333334,19.85,10.941666666666665,10193.826086956522,245.83333333333331,3.083333333333333,0,0
2023-07-14,22.46666666666667,52.208333333333336,15.041666666666666,137.62446239042376,1.5833333333333333,24.333333333333332,45.333333333333336,23.841666666666672,10.845833333333331,10116.75,149.58333333333334,5.058333333333334,0,0
2023-07-15,22.679166666666664,56.125,22.108333333333334,220.74917930800356,20.166666666666668,47.041666666666664,3.5833333333333335,22.437500000000004,13.6125,10079.541666666666,208.75,6.670833333333333,26,20
2023-07-16,20.104166666666668,51.541666666666664,21.974999999999998,229.25187298774497,3.5416666666666665,27.5,20.958333333333332,20.129166666666663,10.325,10157.833333333334,229.58333333333331,5.470833333333334,0,0
2023-07-17,19.283333333333335,58.291666666666664,11.558333333333332,264.04187030808856,2.375,34.0,16.5,19.658333333333328,9.795833333333334,10208.416666666666,218.75,2.766666666666666,0,0
2023-07-18,21.241666666666667,54.916666666666664,7.429166666666667,108.9192768543695,0.6666666666666666,5.916666666666667,35.0,21.945833333333336,10.233333333333333,10177.833333333334,211.25,1.975,0,0
2023-07-19,20.325,55.5,16.233333333333334,278.6694828177785,27.875,19.583333333333332,32.0,20.425,11.591666666666663,10171.25,280.4166666666667,3.725,0,0
2023-07-20,19.645833333333332,60.166666666666664,7.804166666666667,274.9166092596716,5.916666666666667,43.75,73.95833333333333,19.92916666666667,10.8875,10157.90909090909,296.5217391304348,2.0625,-2,0
